pregunta,emocion,intencion,nivel_emocional,recomendacion
tengo demasiados trabajos acumulados me preocupa mucho,ESTRES,organizacion_estudio,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
a veces no encuentro sentido a estudiar me preocupa mucho,DESMOTIVACION,buscar_motivacion,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
en el colegio hasta luego con mis compañeros,NEUTRAL,consulta_general,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
esta semana hasta luego y no quiero sentirme asi,NEUTRAL,despedida,ESTABLE,Responder con orientación general y continuar la conversación.
cuando llego a casa tengo muchas obligaciones y estoy cansado bastante,ESTRES,organizacion_estudio,ALTO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
necesito decir que me dio rabia lo que me dijeron demasiado,ENOJO,conflicto_docente,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
ultimamente me siento en peligro conmigo mismo con mi familia,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
en el colegio me fue bien en el examen sin decirle a nadie y quiero estar mejor,FELICIDAD,motivacion_positiva,LEVE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
desde ayer quiero desaparecer y me cuesta concentrarme,RIESGO_EMOCIONAL,riesgo_autolesion,ALTO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
desde ayer siento que todo seria mejor si no estuviera cuando tengo que exponer y no quiero sentirme asi,RIESGO_EMOCIONAL,desesperanza_grave,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
hoy tengo rabia por lo que paso en clase un poco y quiero mejorar,ENOJO,conflicto_docente,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
tengo demasiados trabajos acumulados demasiado,ESTRES,sobrecarga_academica,ALTO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
en la tarde ya no tengo motivacion para estudiar,DESMOTIVACION,falta_interes,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
cuando llego a casa quiero desaparecer,RIESGO_EMOCIONAL,crisis_emocional,ALTO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
a veces hoy tuve un buen dia en clases,FELICIDAD,compartir_logro,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
necesito decir que me da miedo equivocarme al exponer,MIEDO,buscar_seguridad,ALTO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
a veces no se como organizar mis tareas,ESTRES,cansancio_escolar,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
hoy estoy estresado por tantas tareas durante clases en serio necesito apoyo,ESTRES,expresar_estres,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
esta semana estoy llorando y no se que hacer,TRISTEZA,expresar_tristeza,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
en la tarde puedes ayudarme con una duda con mis compañeros porque me afecta bastante,NEUTRAL,agradecimiento,ESTABLE,Responder con orientación general y continuar la conversación.
me siento tranquilo y animado,FELICIDAD,agradecimiento,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
desde ayer tengo rabia por lo que paso en clase y quiero mejorar,ENOJO,frustracion,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
desde ayer siento que todo seria mejor si no estuviera que puedo hacer,RIESGO_EMOCIONAL,desesperanza_grave,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
cuando llego a casa quiero lastimarme,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
desde hace dias ya no disfruto venir a clases en silencio en serio necesito apoyo,TRISTEZA,expresar_tristeza,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
ultimamente me preocupa no entregar todo y me cuesta concentrarme,ESTRES,organizacion_estudio,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
hoy no se como organizar mis tareas mucho,ESTRES,cansancio_escolar,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
a veces estoy orgulloso de mi avance con mi familia,FELICIDAD,agradecimiento,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
cuando estoy en clases no quiero hacer mis tareas,DESMOTIVACION,bajo_rendimiento,ALTO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
